  1,    1,    2,   24,   23,  485,  486,  508,  507
  2,    2,    3,   25,   24,  486,  487,  509,  508
  3,    3,    4,   26,   25,  487,  488,  510,  509
  4,    4,    5,   27,   26,  488,  489,  511,  510
  5,    5,    6,   28,   27,  489,  490,  512,  511
  6,    6,    7,   29,   28,  490,  491,  513,  512
  7,    7,    8,   30,   29,  491,  492,  514,  513
  8,    8,    9,   31,   30,  492,  493,  515,  514
  9,    9,   10,   32,   31,  493,  494,  516,  515
 10,   10,   11,   33,   32,  494,  495,  517,  516
 11,   11,   12,   34,   33,  495,  496,  518,  517
 12,   12,   13,   35,   34,  496,  497,  519,  518
 13,   13,   14,   36,   35,  497,  498,  520,  519
 14,   14,   15,   37,   36,  498,  499,  521,  520
 15,   15,   16,   38,   37,  499,  500,  522,  521
 16,   16,   17,   39,   38,  500,  501,  523,  522
 17,   17,   18,   40,   39,  501,  502,  524,  523
 18,   18,   19,   41,   40,  502,  503,  525,  524
 19,   19,   20,   42,   41,  503,  504,  526,  525
 20,   20,   21,   43,   42,  504,  505,  527,  526
 21,   21,   22,   44,   43,  505,  506,  528,  527
 22,   23,   24,   46,   45,  507,  508,  530,  529
 23,   24,   25,   47,   46,  508,  509,  531,  530
 24,   25,   26,   48,   47,  509,  510,  532,  531
 25,   26,   27,   49,   48,  510,  511,  533,  532
 26,   27,   28,   50,   49,  511,  512,  534,  533
 27,   28,   29,   51,   50,  512,  513,  535,  534
 28,   29,   30,   52,   51,  513,  514,  536,  535
 29,   30,   31,   53,   52,  514,  515,  537,  536
 30,   31,   32,   54,   53,  515,  516,  538,  537
 31,   32,   33,   55,   54,  516,  517,  539,  538
 32,   33,   34,   56,   55,  517,  518,  540,  539
 33,   34,   35,   57,   56,  518,  519,  541,  540
 34,   35,   36,   58,   57,  519,  520,  542,  541
 35,   36,   37,   59,   58,  520,  521,  543,  542
 36,   37,   38,   60,   59,  521,  522,  544,  543
 37,   38,   39,   61,   60,  522,  523,  545,  544
 38,   39,   40,   62,   61,  523,  524,  546,  545
 39,   40,   41,   63,   62,  524,  525,  547,  546
 40,   41,   42,   64,   63,  525,  526,  548,  547
 41,   42,   43,   65,   64,  526,  527,  549,  548
 42,   43,   44,   66,   65,  527,  528,  550,  549
 43,   45,   46,   68,   67,  529,  530,  552,  551
 44,   46,   47,   69,   68,  530,  531,  553,  552
 45,   47,   48,   70,   69,  531,  532,  554,  553
 46,   48,   49,   71,   70,  532,  533,  555,  554
 47,   49,   50,   72,   71,  533,  534,  556,  555
 48,   50,   51,   73,   72,  534,  535,  557,  556
 49,   51,   52,   74,   73,  535,  536,  558,  557
 50,   52,   53,   75,   74,  536,  537,  559,  558
 51,   53,   54,   76,   75,  537,  538,  560,  559
 52,   54,   55,   77,   76,  538,  539,  561,  560
 53,   55,   56,   78,   77,  539,  540,  562,  561
 54,   56,   57,   79,   78,  540,  541,  563,  562
 55,   57,   58,   80,   79,  541,  542,  564,  563
 56,   58,   59,   81,   80,  542,  543,  565,  564
 57,   59,   60,   82,   81,  543,  544,  566,  565
 58,   60,   61,   83,   82,  544,  545,  567,  566
 59,   61,   62,   84,   83,  545,  546,  568,  567
 60,   62,   63,   85,   84,  546,  547,  569,  568
 61,   63,   64,   86,   85,  547,  548,  570,  569
 62,   64,   65,   87,   86,  548,  549,  571,  570
 63,   65,   66,   88,   87,  549,  550,  572,  571
 64,   67,   68,   90,   89,  551,  552,  574,  573
 65,   68,   69,   91,   90,  552,  553,  575,  574
 66,   69,   70,   92,   91,  553,  554,  576,  575
 67,   70,   71,   93,   92,  554,  555,  577,  576
 68,   71,   72,   94,   93,  555,  556,  578,  577
 69,   72,   73,   95,   94,  556,  557,  579,  578
 70,   73,   74,   96,   95,  557,  558,  580,  579
 71,   74,   75,   97,   96,  558,  559,  581,  580
 72,   75,   76,   98,   97,  559,  560,  582,  581
 73,   76,   77,   99,   98,  560,  561,  583,  582
 74,   77,   78,  100,   99,  561,  562,  584,  583
